-10	-3	2	-1	47	-1	17	244,6
-10	2	2	0	40	0	7	230,66
-10	3	2	5	41	-3	5	231,69
-10	-5	2	9	37	-2	21	348,58
-10	1	2	11	52	0	9	605,03
-10	-5	2	11	40	-1	21	499,77
-10	-3	2	12	44	-3	17	609,68
-10	-4	2	12	52	0	19	713,94
-10	-1	2	24	38	1	13	1034,54
-10	-2	2	24	43	0	15	1153,86
-10	-1	2	25	38	-2	13	1027,03
-10	-3	2	26	34	-1	17	923,83
-10	-1	2	26	48	-3	13	1287,29
-10	-3	2	28	33	-3	17	900,79
-10	1	2	32	55	0	9	1701,98
-10	-1	3	2	37	-3	13	186,47
-10	-3	3	4	42	0	17	203,14
-10	2	3	7	34	-1	7	186,82
-10	-5	3	9	52	-3	21	444,82
-10	-1	3	9	34	0	13	256,95
-10	0	3	11	50	-3	11	532,22
-10	3	3	12	33	1	5	409,36
-10	-2	3	14	41	-3	15	664,96
-10	0	3	14	33	-1	11	549,3
-10	3	3	14	40	1	5	634,94
-10	-1	3	22	56	-2	13	1374,08
-10	0	3	23	56	-2	11	1392,48
-10	0	3	24	48	-2	11	1220,82
-10	0	3	26	37	-3	11	945,63
-10	1	3	27	34	-3	9	858,9
-10	4	3	30	46	1	3	1245,59
-10	1	3	34	52	-1	9	1700,77
-10	2	3	35	49	1	7	1680,63
-10	3	4	-2	42	1	5	86,89
-10	-3	4	0	30	1	17	131,21
-10	0	4	3	42	-1	11	124,09
-10	-1	4	4	54	-3	13	176,26
-10	-1	4	4	31	1	13	80,39
-10	0	4	7	59	-2	11	293,69
-10	0	4	9	58	-2	11	397,66
-10	-4	4	16	43	0	19	783,14
-10	2	4	16	52	0	7	909,01
-10	-4	4	16	57	1	19	1015,31
-10	-3	4	18	34	-1	17	741,1
-10	1	4	19	44	1	9	953,11
-10	-5	4	24	51	1	21	1243,17
-10	0	4	28	37	-1	11	884,49
-10	-4	4	30	46	-2	19	1216,29
-10	0	4	30	32	-2	11	776,09
-10	3	4	30	34	-3	5	819,41
-10	-4	4	31	41	-1	19	1103,46
-10	-4	4	32	46	-1	19	1319,13
-10	-3	4	32	40	1	17	1111,2
-10	2	4	34	56	-2	7	1768,05
-10	3	4	38	54	-3	5	2050,76
-10	1	5	2	53	1	9	51,44
-10	0	5	5	51	-1	11	84,46
-10	-5	5	8	55	-1	21	255,4
-10	-1	5	10	47	-1	13	277,14
-10	4	5	10	30	1	3	101,23
-10	3	5	13	44	1	5	455,35
-10	-1	5	18	58	0	13	1072,17
-10	3	5	20	58	-3	5	1162,78
-10	-2	5	24	37	-3	15	800,35
-10	-2	5	25	57	-1	15	1299,03
-10	2	5	26	44	-3	7	955,85
-10	4	5	36	45	0	3	1452,32
-10	1	5	38	54	-2	9	1977,39
-10	-3	6	2	56	-1	17	-33,94
-10	4	6	4	46	1	3	-83,92
-10	-5	6	5	37	-1	21	-69,62
-10	4	6	6	36	-1	3	-103,63
-10	0	6	11	59	-3	11	366,12
-10	0	6	19	38	-1	11	630,73
-10	-4	6	20	31	-3	19	543,7
-10	4	6	22	42	-1	3	769,82
-10	0	6	24	31	0	11	543,55
-10	-2	6	24	54	-1	15	1095,95
-10	0	6	25	35	0	11	629,69
-10	0	6	26	37	-2	11	677,82
-10	-1	6	27	33	-3	13	572,49
-10	1	6	28	56	-1	9	1217,4
-10	2	7	-1	56	-1	7	-238,06
-10	-2	7	1	40	-1	15	-201,54
-10	3	7	1	46	-1	5	-219,17
-10	-1	7	4	45	1	13	-193,66
-10	3	7	13	38	-1	5	139,79
-10	2	7	15	52	-2	7	489,78
-10	-4	7	16	47	-2	19	517,79
-10	-3	7	18	36	-3	17	442,55
-10	3	7	18	46	-2	5	596,6
-10	-3	7	21	41	-2	17	625,3
-10	-2	7	24	51	-1	15	897,8
-10	0	7	29	35	-2	11	514,7
-10	2	7	29	50	0	7	937,4
-10	-4	7	32	34	-1	19	591,49
-10	2	7	34	43	-3	7	996,26
-10	-1	7	37	38	-2	13	1060,28
-9	-3	2	1	38	0	17	280,7
-9	4	2	1	55	1	3	262,89
-9	-4	2	8	41	0	19	358,95
-9	2	2	9	35	-1	7	326,05
-9	-1	2	10	52	-3	13	556,45
